0.5517, [[0.39782516652861427, 0.27676852996539564], [0.996167064596453, 0.0], [0.5327689627624489, 0.0], [0.37555675576733866, 0.9141105187966707], [0.37555675576733866, 0.9141105187966707], [0.5201934418762056, 0.0], [0.9936842247777116, 0.0], [0.37753833471200543, 0.9072173652725619], [0.37696739934972784, 0.841978128188527], [0.0, 0.8695016806940294]]
0.5901, [[0.4006682535453114, 0.27682932510573566], [0.4006682535453114, 0.27682932510573566], [0.37885543209438877, 0.8461806117657212], [0.0, 1.0], [0.3770173458458961, 0.8555524781388927], [0.38160359317361675, 0.7506243433898729], [0.3731689821135019, 0.985457923950108], [0.3769260072258314, 0.9149539371574087], [0.9995504522171306, 0.0], [0.3974173161344885, 0.27687754478510174]]
0.5627, [[1.0, 0.0], [0.37934496294633674, 0.8414723527989979], [0.37555675576733866, 0.9141105187966707], [0.38160359317361675, 0.7506243433898729], [0.0, 0.9871169223531451], [0.4006682535453114, 0.27682932510573566], [0.37684625840045766, 0.8794057826405961], [0.3770173458458961, 0.8555524781388927], [0.40244507945043734, 0.2766940381985657], [0.37885543209438877, 0.8461806117657212]]
0.5560, [[0.4006682535453114, 0.27682932510573566], [0.3769260072258314, 0.9149539371574087], [0.3974173161344885, 0.27687754478510174], [0.0, 0.953613092666926], [0.0, 0.8786533211618961], [0.010154260644765285, 0.27673348218793364], [0.0083553589402279, 0.2769518082549023], [0.9580642594077684, 0.0], [0.0, 0.9871169223531451], [0.2768575122838755, 0.0]]
0.5900, [[0.4006682535453114, 0.27682932510573566], [0.0, 1.0], [0.3974173161344885, 0.27687754478510174], [0.37885543209438877, 0.8461806117657212], [0.38160359317361675, 0.7506243433898729], [0.9995504522171306, 0.0], [0.37684625840045766, 0.8794057826405961], [0.3731689821135019, 0.985457923950108], [0.3770173458458961, 0.8555524781388927], [0.0, 0.8763744378264084]]
0.5883, [[0.9986407069192778, 0.0], [0.0, 0.9871169223531451], [0.37934496294633674, 0.8414723527989979], [0.3773186805078619, 0.9091635669213187], [0.4014312483624683, 0.276895178638894], [0.37941174223955626, 0.7907525903578048], [0.3731689821135019, 0.985457923950108], [0.37365133833064124, 0.9357403409728537], [0.37753833471200543, 0.9072173652725619], [0.40244507945043734, 0.2766940381985657]]
0.5720, [[0.37885543209438877, 0.8461806117657212], [0.37365133833064124, 0.9357403409728537], [0.38160359317361675, 0.7506243433898729], [1.0, 0.0], [0.0, 0.9985375235875551], [0.37941174223955626, 0.7907525903578048], [0.40244507945043734, 0.2766940381985657], [0.4006682535453114, 0.27682932510573566], [0.3773186805078619, 0.9091635669213187], [0.00863875701517188, 0.2765611908423745]]
0.5893, [[0.3731689821135019, 0.985457923950108], [1.0, 0.0], [0.38160359317361675, 0.7506243433898729], [0.4014312483624683, 0.276895178638894], [0.37753833471200543, 0.9072173652725619], [0.37941174223955626, 0.7907525903578048], [0.37885543209438877, 0.8461806117657212], [0.40244507945043734, 0.2766940381985657], [0.37934496294633674, 0.8414723527989979], [0.3769260072258314, 0.9149539371574087]]
0.5881, [[0.9997415019568712, 0.0], [0.0, 0.9871169223531451], [0.3769260072258314, 0.9149539371574087], [0.3731689821135019, 0.985457923950108], [0.37941174223955626, 0.7907525903578048], [0.37365133833064124, 0.9357403409728537], [0.4014312483624683, 0.276895178638894], [0.37934496294633674, 0.8414723527989979], [0.37753833471200543, 0.9072173652725619], [0.3773186805078619, 0.9091635669213187]]
0.5835, [[0.9962277357975868, 0.0], [0.37885543209438877, 0.8461806117657212], [0.3731689821135019, 0.985457923950108], [0.9919833334714563, 0.0], [0.9951656670585891, 0.0], [0.38160359317361675, 0.7506243433898729], [0.3769260072258314, 0.9149539371574087], [0.9997415019568712, 0.0], [0.37934496294633674, 0.8414723527989979], [1.0, 0.0]]
0.5719, [[0.37365133833064124, 0.9357403409728537], [0.37934496294633674, 0.8414723527989979], [0.0, 1.0], [0.9997415019568712, 0.0], [0.38160359317361675, 0.7506243433898729], [0.4014312483624683, 0.276895178638894], [0.37365133833064124, 0.9357403409728537], [0.37941174223955626, 0.7907525903578048], [0.4016837403182363, 0.2766934620772664], [0.3773186805078619, 0.9091635669213187]]
0.3150, [[0.9995504522171306, 0.0], [0.4014312483624683, 0.276895178638894], [0.40244507945043734, 0.2766940381985657], [0.0, 0.9356477303293202], [0.9990829935211605, 0.0], [0.3987316540419453, 0.27684046145873387], [0.4006682535453114, 0.27682932510573566], [0.007239703227473703, 0.27709460864441066], [0.9976412456963437, 0.0], [0.0083553589402279, 0.2769518082549023]]
